D0,D1,D2,D3,D4
numeric,numeric,numeric,numeric,numeric
-0.30,-0.49,1.35,-1.21,0.46
0.73,0.28,1.15,-0.20,-0.22
0.48,-0.25,-0.83,0.46,0.35
0.33,-0.26,1.53,0.24,-1.01
-0.99,-1.24,0.74,-1.57,1.22
-0.57,-0.56,1.06,-1.24,-0.19
-1.84,-2.23,1.03,-0.98,-0.98
0.44,0.13,1.00,-0.06,-0.63
0.85,0.11,-0.71,1.33,-0.14
-0.54,0.24,-0.44,-1.25,1.39
1.66,2.00,0.02,0.78,1.83
0.74,2.26,1.51,0.81,1.50
-0.66,0.34,-1.12,0.25,-2.95
-0.01,0.19,0.59,-0.84,0.42
1.25,2.01,-3.21,-1.36,2.12
-0.65,0.34,1.13,0.83,-2.36
1.02,1.06,-0.85,-0.87,-0.05
0.01,0.47,-0.46,-0.10,0.20
1.16,1.28,-1.21,1.30,-1.76
-0.37,-1.10,-0.87,2.60,0.49
